unicode_,name,script,diacritic,name_meaning,english_name,origin,transliteration,ordering,variants
𓂬,,Egyptian hieroglyphs,0,,D49: fist,,,Gardiner's sign list order: 152,
𓂭,,Egyptian hieroglyphs,0,,D50: one finger,,,Gardiner's sign list order: 153,
𓂷,,Egyptian hieroglyphs,0,,D51: one finger (horizontal),𓂭:1,,Gardiner's sign list order: 154,
𓂸,,Egyptian hieroglyphs,0,,D52: phallus,,,Gardiner's sign list order: 155,
𓂺,,Egyptian hieroglyphs,0,,D53: phallus with emission,𓂸:1,,Gardiner's sign list order: 156,
𓂻,,Egyptian hieroglyphs,0,,D54: legs walking,,,Gardiner's sign list order: 157,
𓂽,,Egyptian hieroglyphs,0,,D55: legs walking backwards,𓂻:1,,Gardiner's sign list order: 158,
𓂾,,Egyptian hieroglyphs,0,,D56: leg,,,Gardiner's sign list order: 159,
𓂿,,Egyptian hieroglyphs,0,,D57: leg with knife,𓂾:1,,Gardiner's sign list order: 160,
𓃀,,Egyptian hieroglyphs,0,,D58: foot,,,Gardiner's sign list order: 161,
𓃁,,Egyptian hieroglyphs,0,,D59: foot and forearm,𓃀:1;𓂝:1,,Gardiner's sign list order: 162,
𓃂,,Egyptian hieroglyphs,0,,D60: foot under vase from which water flows,𓃀:1,,Gardiner's sign list order: 163,
𓃃,,Egyptian hieroglyphs,0,,D61: three toes oriented leftward,,,Gardiner's sign list order: 164,
𓃄,,Egyptian hieroglyphs,0,,D62: three toes oriented rightward,𓃃:1,,Gardiner's sign list order: 165,
𓃅,,Egyptian hieroglyphs,0,,D63: two toes oriented leftward,,,Gardiner's sign list order: 166,
𓃆,,Egyptian hieroglyphs,0,,D64: hand with palm down,,,Gardiner's sign list order: 167,
𓃇,,Egyptian hieroglyphs,0,,D65: lock of hair,,,Gardiner's sign list order: 168,
𓃈,,Egyptian hieroglyphs,0,,D66: arm with reed pen,,,Gardiner's sign list order: 169,
𓃉,,Egyptian hieroglyphs,0,,D67: one dot,,,Gardiner's sign list order: 170,
𓃒,,Egyptian hieroglyphs,0,,E1: bull,,,Gardiner's sign list order: 171,
𓃓,,Egyptian hieroglyphs,0,,E2: bull charging,𓃒:1,,Gardiner's sign list order: 172,
𓃔,,Egyptian hieroglyphs,0,,E3: calf,,,Gardiner's sign list order: 173,
𓃕,,Egyptian hieroglyphs,0,,E4: sacred cow,,,Gardiner's sign list order: 174,
𓃖,,Egyptian hieroglyphs,0,,E5: cow suckling calf,,,Gardiner's sign list order: 175,
𓃗,,Egyptian hieroglyphs,0,,E6: horse,,,Gardiner's sign list order: 176,
𓃘,,Egyptian hieroglyphs,0,,E7: donkey,,,Gardiner's sign list order: 177,
𓃙,,Egyptian hieroglyphs,0,,E8: kid,,,Gardiner's sign list order: 178,
𓃛,,Egyptian hieroglyphs,0,,E9: newborn hartebeest,,,Gardiner's sign list order: 179,
𓃝,,Egyptian hieroglyphs,0,,E10: ram,,,Gardiner's sign list order: 180,
𓃞,,Egyptian hieroglyphs,0,,E11: ram,,,Gardiner's sign list order: 181,
𓃟,,Egyptian hieroglyphs,0,,E12: pig,,,Gardiner's sign list order: 182,
𓃠,,Egyptian hieroglyphs,0,,E13: cat,,,Gardiner's sign list order: 183,
𓃡,,Egyptian hieroglyphs,0,,E14: dog,,,Gardiner's sign list order: 184,
𓃢,,Egyptian hieroglyphs,0,,E15: lying canine,,,Gardiner's sign list order: 185,
𓃣,,Egyptian hieroglyphs,0,,E16: lying canine on shrine,𓃢:1,,Gardiner's sign list order: 186,
𓃥,,Egyptian hieroglyphs,0,,E17: jackal,,,Gardiner's sign list order: 187,
𓃧,,Egyptian hieroglyphs,0,,E18: wolf on standard,𓃥:1; 𓊾:1,,Gardiner's sign list order: 188,
𓃨,,Egyptian hieroglyphs,0,,E19: wolf on standard with mace,𓃧:1,,Gardiner's sign list order: 189,
𓃩,,Egyptian hieroglyphs,0,,E20: Set-animal,,,Gardiner's sign list order: 190,
𓃫,,Egyptian hieroglyphs,0,,E21: lying Set-animal,𓃩:1,,Gardiner's sign list order: 191,
𓃬,,Egyptian hieroglyphs,0,,E22: lion,,,Gardiner's sign list order: 192,
𓃭,,Egyptian hieroglyphs,0,,E23: lying lion,,,Gardiner's sign list order: 193,
𓃮,,Egyptian hieroglyphs,0,,E24: panther,,,Gardiner's sign list order: 194,
𓃯,,Egyptian hieroglyphs,0,,E25: hippopotamus,,,Gardiner's sign list order: 195,
𓃰,,Egyptian hieroglyphs,0,,E26: elephant,,,Gardiner's sign list order: 196,
𓃱,,Egyptian hieroglyphs,0,,E27: giraffe,,,Gardiner's sign list order: 197,
𓃲,,Egyptian hieroglyphs,0,,E28: oryx,,,Gardiner's sign list order: 198,
𓃴,,Egyptian hieroglyphs,0,,E29: gazelle,,,Gardiner's sign list order: 199,
𓃵,,Egyptian hieroglyphs,0,,E30: ibex,,,Gardiner's sign list order: 200,
𓃶,,Egyptian hieroglyphs,0,,E31: goat with collar,,,Gardiner's sign list order: 201,
𓃷,,Egyptian hieroglyphs,0,,E32: baboon,,,Gardiner's sign list order: 202,
𓃸,,Egyptian hieroglyphs,0,,E33: monkey,,,Gardiner's sign list order: 203,
𓃹,,Egyptian hieroglyphs,0,,E34: hare,,,Gardiner's sign list order: 204,
𓃻,,Egyptian hieroglyphs,0,,E36: baboon,,,Gardiner's sign list order: 205,
𓃼,,Egyptian hieroglyphs,0,,E37: baboon with receptacle and basket,𓃻:1,,Gardiner's sign list order: 206,
𓃽,,Egyptian hieroglyphs,0,,E38: long-horned bull,,,Gardiner's sign list order: 207,
𓃾,,Egyptian hieroglyphs,0,,F1: ox head,,,Gardiner's sign list order: 208,
𓄀,,Egyptian hieroglyphs,0,,F2: charging ox head,𓃾:1,,Gardiner's sign list order: 209,
𓄁,,Egyptian hieroglyphs,0,,F3: hippopotamus head,,,Gardiner's sign list order: 210,
𓄂,,Egyptian hieroglyphs,0,,F4: forepart of lion,,,Gardiner's sign list order: 211,
𓄃,,Egyptian hieroglyphs,0,,F5: hartebeest head,,,Gardiner's sign list order: 212,
𓄄,,Egyptian hieroglyphs,0,,F6: forepart of hartebeest,,,Gardiner's sign list order: 213,
𓄅,,Egyptian hieroglyphs,0,,F7: ram head,,,Gardiner's sign list order: 214,
𓄆,,Egyptian hieroglyphs,0,,F8: forepart of ram,,,Gardiner's sign list order: 215,
𓄇,,Egyptian hieroglyphs,0,,F9: leopard,,,Gardiner's sign list order: 216,
𓄈,,Egyptian hieroglyphs,0,,F10: head and neck of animal,,,Gardiner's sign list order: 217,
𓄉,,Egyptian hieroglyphs,0,,F11: head and neck of animal,,,Gardiner's sign list order: 218,
𓄊,,Egyptian hieroglyphs,0,,F12: head and neck of animal,,,Gardiner's sign list order: 219,
𓄋,,Egyptian hieroglyphs,0,,F13: horns,,,Gardiner's sign list order: 220,
𓄍,,Egyptian hieroglyphs,0,,F14: horns with palm branch,𓄋:1,,Gardiner's sign list order: 221,
𓄎,,Egyptian hieroglyphs,0,,F15: horns with palm branch and sun,𓄍:1,,Gardiner's sign list order: 222,
𓄏,,Egyptian hieroglyphs,0,,F16: horn,,,Gardiner's sign list order: 223,
𓄐,,Egyptian hieroglyphs,0,,F17: horn and vase from which water flows,𓄏:1,,Gardiner's sign list order: 224,
𓄑,,Egyptian hieroglyphs,0,,F18: tusk,,,Gardiner's sign list order: 225,
𓄒,,Egyptian hieroglyphs,0,,F19: lower jaw-bone of ox,,,Gardiner's sign list order: 226,
𓄓,,Egyptian hieroglyphs,0,,F20: tongue,,,Gardiner's sign list order: 227,
𓄔,,Egyptian hieroglyphs,0,,F21: ear of bovine,,,Gardiner's sign list order: 228,
𓄖,,Egyptian hieroglyphs,0,,F22: hind-quarters of lion,,,Gardiner's sign list order: 229,
𓄗,,Egyptian hieroglyphs,0,,F23: foreleg,,,Gardiner's sign list order: 230,
𓄘,,Egyptian hieroglyphs,0,,F24: F23 reversed,𓄗:1,,Gardiner's sign list order: 231,
𓄙,,Egyptian hieroglyphs,0,,F25: leg of,,,Gardiner's sign list order: 232,
𓄚,,Egyptian hieroglyphs,0,,F26: skin of goat,,,Gardiner's sign list order: 233,
𓄛,,Egyptian hieroglyphs,0,,F27: skin of cow with bent tail,,,Gardiner's sign list order: 234,
𓄜,,Egyptian hieroglyphs,0,,F28: skin of cow with straight tail,,,Gardiner's sign list order: 235,
𓄝,,Egyptian hieroglyphs,0,,F29: cow's skin pierced by arrow,𓄜:1,,Gardiner's sign list order: 236,
𓄞,,Egyptian hieroglyphs,0,,F30: water,,,Gardiner's sign list order: 237,
𓄟,,Egyptian hieroglyphs,0,,F31: three skins tied together,,,Gardiner's sign list order: 238,
𓄡,,Egyptian hieroglyphs,0,,F32: animal's belly,,,Gardiner's sign list order: 239,
𓄢,,Egyptian hieroglyphs,0,,F33: tail,,,Gardiner's sign list order: 240,
𓄣,,Egyptian hieroglyphs,0,,F34: heart,,,Gardiner's sign list order: 241,
𓄤,,Egyptian hieroglyphs,0,,F35: heart and,,,Gardiner's sign list order: 242,
𓄥,,Egyptian hieroglyphs,0,,F36: lung and windpipe,,,Gardiner's sign list order: 243,
𓄦,,Egyptian hieroglyphs,0,,F37: backbone and ribs and spinal cord,,,Gardiner's sign list order: 244,
𓄨,,Egyptian hieroglyphs,0,,F38: backbone and ribs,,,Gardiner's sign list order: 245,
𓄪,,Egyptian hieroglyphs,0,,F39: backbone and spinal cord,,,Gardiner's sign list order: 246,
𓄫,,Egyptian hieroglyphs,0,,F40: backbone and spinal cords,,,Gardiner's sign list order: 247,
𓄬,,Egyptian hieroglyphs,0,,F41: vertebrae,,,Gardiner's sign list order: 248,
𓄭,,Egyptian hieroglyphs,0,,F42: rib,,,Gardiner's sign list order: 249,
𓄮,,Egyptian hieroglyphs,0,,F43: ribs,,,Gardiner's sign list order: 250,
